1,7,Career Fair,Educational purpose,2024-01-20,only for 3rd year students
2,6,Movie Night,Concert,2024-08-12,for all students
3,8,Workshop on Time Management,Volunteering,2024-02-13,for all students
4,12,Sports Tournament,Master Class,2024-08-21,only for 3rd year students
5,10,Hackathon,Educational purpose,2024-02-08,only for 2nd year students
6,9,Art Exhibition,Educational purpose,2024-08-14,only for 1st year students
7,8,Guest Speaker Series,Volunteering,2024-09-16,only for 3rd year students
8,14,Volunteer Day,Volunteering,2024-01-29,only for 2nd year students
9,7,Networking Event,Master Class,2024-06-22,only for 2nd year students
10,14,Charity Fundraiser,Educational purpose,2024-07-28,only for 3rd year students
11,18,Leadership Seminar,Master Class,2024-06-13,only for 1st year students
12,4,Music Concert,Volunteering,2024-06-22,only for 2nd year students
13,9,Cooking Class,Volunteering,2024-11-28,only for 3rd year students
14,12,Fitness Bootcamp,Environmental purpose,2023-12-16,for all students
15,2,Game Night,Environmental purpose,2024-08-26,only for 2nd year students
